,Date,Location,Demographic_Category,census,Not_Vaccinated,Administered_Dose1,Series_Complete_Yes
0,2021-12-30,1,1,52055.0,3116.0,48939.0,42161.0
1,2021-12-30,2,1,481323.0,123150.0,358173.0,262023.0
2,2021-12-30,35,26,135005.0,103698.0,31307.0,20149.0
3,2021-12-30,36,26,133254.0,120857.0,12397.0,6750.0
4,2021-12-30,37,28,526217.0,105711.0,420506.0,358267.0
5,2021-12-30,38,28,189298.0,66287.0,123011.0,106470.0
6,2021-12-30,39,29,,,512.0,255.0
7,2021-12-30,40,29,,,0.0,0.0
8,2021-12-30,39,30,357089.0,357089.0,0.0,0.0
9,2021-12-30,41,30,3422.0,3422.0,0.0,0.0
10,2021-12-30,38,31,966449.0,348922.0,617527.0,556819.0
11,2021-12-30,42,31,381418.0,131040.0,250378.0,225716.0
12,2021-12-30,43,32,72236.0,72236.0,0.0,0.0
13,2021-12-30,1,32,12379.0,12379.0,0.0,0.0
14,2021-12-30,44,33,277169.0,277169.0,0.0,0.0
15,2021-12-30,1,33,30934.0,30934.0,0.0,0.0
16,2021-12-30,45,34,33343.0,-553.0,33896.0,28506.0
17,2021-12-30,46,34,44559.0,-5263.0,49822.0,40032.0
18,2021-12-30,34,35,2229.0,-22.0,2251.0,2066.0
19,2021-12-30,35,35,272236.0,-15581.0,287817.0,256720.0
20,2021-12-30,47,27,1299541.0,193108.0,1106433.0,992049.0
21,2021-12-30,49,27,1011556.0,184761.0,826795.0,715152.0
22,2021-12-30,50,36,5853.0,648.0,5205.0,4826.0
23,2021-12-30,51,36,698402.0,75704.0,622698.0,572098.0
24,2021-12-30,42,38,16346.0,2268.0,14078.0,13004.0
25,2021-12-30,34,38,575.0,152.0,423.0,392.0
26,2021-12-30,43,39,613913.0,107023.0,506890.0,435493.0
27,2021-12-30,51,39,662656.0,307194.0,355462.0,314705.0
28,2021-12-30,52,40,1146315.0,17619.0,1128696.0,947996.0
29,2021-12-30,53,40,159136.0,52050.0,107086.0,93719.0
30,2021-12-30,54,41,190962.0,-4777.0,195739.0,177704.0
31,2021-12-30,55,41,177807.0,58321.0,119486.0,98282.0
32,2021-12-30,55,42,290344.0,27134.0,263210.0,224804.0
33,2021-12-30,41,42,11260.0,2017.0,9243.0,7881.0
34,2021-12-30,46,43,62655.0,-8958.0,71613.0,59336.0
35,2021-12-30,60,43,146406.0,-1608.0,148014.0,134279.0
36,2021-12-30,56,44,189428.0,113432.0,75996.0,58808.0
37,2021-12-30,57,44,344043.0,85111.0,258932.0,225497.0
38,2021-12-30,51,45,131383.0,131383.0,0.0,0.0
39,2021-12-30,58,45,204027.0,204027.0,0.0,0.0
40,2021-12-30,43,37,1997236.0,204224.0,1793012.0,1563113.0
41,2021-12-30,56,37,1549486.0,602915.0,946571.0,752755.0
42,2021-12-30,48,25,368080.0,368080.0,0.0,0.0
43,2021-12-30,1,25,63537.0,63537.0,0.0,0.0
44,2021-12-30,33,39,438674.0,180068.0,258606.0,220264.0
45,2021-12-30,48,39,613462.0,250695.0,362767.0,303320.0
46,2021-12-30,47,28,693844.0,241899.0,451945.0,385852.0
47,2021-12-30,32,28,363022.0,89847.0,273175.0,238033.0
48,2021-12-30,54,44,116019.0,4476.0,111543.0,102615.0
49,2021-12-30,31,44,16114.0,747.0,15367.0,11650.0
50,2021-12-30,1,45,20224.0,20224.0,0.0,0.0
51,2021-12-30,44,45,176956.0,176956.0,0.0,0.0
52,2021-12-30,3,41,1152260.0,73736.0,1078524.0,933204.0
53,2021-12-30,58,41,667319.0,208889.0,458430.0,385294.0
54,2021-12-30,31,26,24908.0,13321.0,11587.0,7041.0
55,2021-12-30,47,26,315239.0,239092.0,76147.0,47100.0
56,2021-12-30,4,25,120986.0,120986.0,0.0,0.0
57,2021-12-30,5,25,85219.0,85219.0,0.0,0.0
58,2021-12-30,5,31,708040.0,118527.0,589513.0,529057.0
59,2021-12-30,6,31,1960658.0,696150.0,1264508.0,1020419.0
60,2021-12-30,7,43,422495.0,3640.0,418855.0,391472.0
61,2021-12-30,8,43,2451445.0,145509.0,2305936.0,2061395.0
62,2021-12-30,60,34,105244.0,-1746.0,106990.0,99070.0
63,2021-12-30,43,34,255174.0,-17162.0,272336.0,242896.0
64,2021-12-30,43,29,,,115.0,36.0
65,2021-12-30,44,29,,,82.0,15.0
66,2021-12-30,9,40,168182.0,-2388.0,170570.0,144467.0
67,2021-12-30,10,40,278702.0,104287.0,174415.0,154718.0
68,2021-12-30,11,30,14917.0,14917.0,0.0,0.0
69,2021-12-30,12,30,93028.0,93028.0,0.0,0.0
70,2021-12-30,13,38,271950.0,34266.0,237684.0,218509.0
71,2021-12-30,12,38,165643.0,-15007.0,180650.0,148550.0
72,2021-12-30,14,36,30927536.0,3794298.0,27133238.0,23947129.0
73,2021-12-30,12,36,369494.0,-9392.0,378886.0,327456.0
74,2021-12-30,36,32,36697.0,36697.0,0.0,0.0
75,2021-12-30,2,32,122411.0,122411.0,0.0,0.0
76,2021-12-30,15,37,961581.0,299065.0,662516.0,599102.0
77,2021-12-30,16,37,6740370.0,1523137.0,5217233.0,4407949.0
78,2021-12-30,17,35,3023.0,472.0,2551.0,2445.0
79,2021-12-30,7,35,594748.0,-19993.0,614741.0,574593.0
80,2021-12-30,14,27,63659835.0,6392698.0,57267137.0,50550555.0
81,2021-12-30,18,27,369812.0,82178.0,287634.0,261833.0
82,2021-12-30,19,33,171623.0,171623.0,0.0,0.0
83,2021-12-30,37,33,163066.0,163066.0,0.0,0.0
84,2021-12-30,20,42,1482.0,554.0,928.0,899.0
85,2021-12-30,15,42,304170.0,15341.0,288829.0,272430.0
86,2021-12-30,38,1,92317.0,27591.0,64726.0,56783.0
87,2021-12-30,39,1,563300.0,115323.0,447977.0,351895.0
88,2021-12-30,6,12,376215.0,323739.0,52476.0,32823.0
89,2021-12-30,57,12,749125.0,510916.0,238209.0,151939.0
90,2021-12-30,17,21,5586.0,689.0,4897.0,4661.0
91,2021-12-30,2,21,1061564.0,1490.0,1060074.0,787670.0
92,2021-12-30,51,3,1722185.0,288341.0,1433844.0,1284699.0
93,2021-12-30,12,3,667884.0,33590.0,634294.0,531129.0
94,2021-12-30,32,4,68422.0,68422.0,0.0,0.0
95,2021-12-30,52,4,105362.0,105362.0,0.0,0.0
